país,Country_code,citação_doc,h_index,bolsa_lcu,bolsa_dollar,bigmac_lcu,Bolsa mensal/big mac,pib_cap_lcu,dollar_ex,dollar_ppp,pib_cap_dollar,Bolsa por PIB LCU,Bolsa em PPPs
Indonesia,IDN,,,"48,000,000","3,337.51",34000,117.6,"56,427,126",14382.00,4738.64,3921.62,0.85,"10,129.49"
China,CHN,10.49,1010,"45,492","7,146.82",24.4,155.4,"72,008",6.37,4.18,10511.34,0.63,"10,883.25"
Brazil,BRA,12.83,649,"31,596","5,950.28",22.9,115.0,"35,039",5.31,2.53,6822.56,0.90,"12,488.54"
Hungary,HUN,,,"2,160,000","6,802.91",982,183.3,,317.51,153.50,15866.22,,"14,071.88"
Poland,POL,,,"29,796","7,277.97",14.08,176.3,"61,307",4.09,1.79,15699.30,0.49,"16,654.46"
India,IND,,691,"425,400","5,700.69",190,186.6,"143,084",74.62,23.30,1929.68,2.97,"18,257.51"
South Korea,KOR,,,"14,851,848","12,320.07",4600,269.1,"37,333,542",1205.50,808.46,31638.46,0.40,"18,370.49"
New Zeland,NZL,,,"27,000","17,732.25",7,321.4,"63,905",1.52,1.43,41164.58,0.42,"18,860.77"
Australia,AUS,23.15,1115,"28,788","20,282.59",6.4,374.8,"77,115",1.42,1.46,52905.40,0.37,"19,662.93"
Greece,GRC,,,"10,836","12,147.16",3.4,265.6,"15,429",0.89,0.55,17657.10,0.70,"19,859.07"
Canada,CAN,25.93,1299,"25,567","20,103.00",6.77,314.7,"58,065",1.27,1.29,43294.80,0.44,"19,869.79"
Mexico,MEX,13.71,504,"198,840","9,629.52",69,240.1,"178,959",20.65,9.90,8403.60,1.11,"20,075.91"
Chile,CHL,,,"8,893,512","11,136.38",3100,239.1,"10,489,132",798.60,435.22,12992.98,0.85,"20,434.52"
Czech Republic,CZE,,,"269,856","12,447.12",89,252.7,"532,241",21.68,12.89,22942.86,0.51,"20,937.88"
Slovakia,SVK,,,"11,328","12,698.69",3.8,248.4,,0.89,0.53,19144.92,,"21,421.64"
South Africa,ZAF,,,"151,709","9,806.66",39.9,316.9,"93,090",15.47,7.04,5624.50,1.63,"21,549.57"
Italy,ITA,21.12,1135,"14,400","16,142.40",4.8,250.0,"27,766",0.89,0.65,31604.43,0.52,"22,232.17"
Japan,JPN,17.61,1118,"2,160,000","18,745.93",390,461.5,"4,291,618",115.23,96.76,40088.60,0.50,"22,323.40"
Portugal,PRT,17.86,560,"12,672","14,205.31",3.45,306.1,"19,415",0.89,0.55,22148.80,0.65,"22,975.92"
Ireland,IRL,,,"18,705","20,968.31",4.6,338.9,"74,652",0.89,0.77,85205.50,0.25,"24,434.34"
Turkey,TUR,,,"63,804","4,755.99",24.99,212.8,,13.42,2.61,8610.03,,"24,481.40"
Britain,GBR,25.47,1618,"16,815","22,559.84",3.59,390.3,"30,624",0.75,0.67,40394.13,0.55,"25,177.24"
Israel,ISR,26.36,786,"96,564","30,387.54",17,473.4,"152,047",3.18,3.79,44181.17,0.64,"25,470.38"
United States,USA,27.82,2577,"28,000","28,000.00",5.81,401.6,"60,745",1.00,1.00,63358.49,0.46,"28,000.00"
Spain,ESP,19.98,1010,"18,615","20,867.42",4.58,338.7,"25,330",0.89,0.61,27179.45,0.73,"30,379.34"
Colombia,COL,11.32,333,"42,826,552","10,864.18",12950,275.6,"19,710,406",3942.00,1362.01,5390.92,2.17,"31,443.65"
Germany,DEU,23.17,1429,"24,348","27,294.11",4.46,454.9,"40,456",0.89,0.73,46215.60,0.60,"33,280.12"
Austria,AUT,,,"27,048","30,320.81",3.8,593.2,,0.89,0.75,48592.71,,"36,241.63"
Finland,FIN,,,"30,576","34,275.70",4.95,514.7,,0.89,0.83,48786.03,,"36,641.92"
Belgium,BEL,26.46,886,"27,420","30,737.82",4.55,502.2,"39,537",0.89,0.74,44688.46,0.69,"37,012.19"
France,FRA,22.92,1286,"28,176","31,585.30",4.35,539.8,"34,171",0.89,0.70,40298.85,0.82,"39,984.56"
Netherlands,NLD,30.38,1133,"32,544","36,481.82",4.4,616.4,"43,543",0.89,0.76,52456.09,0.75,"42,695.33"
Sweden,SWE,28.31,974,"378,480","40,548.10",54,584.1,"447,974",9.33,8.67,52129.13,0.84,"43,651.35"
Norway,NOR,,,"509,494","57,143.47",57,744.9,,8.92,11.19,67326.07,,"45,512.78"
Switzerland,CHE,31.33,1085,"54,000","57,999.03",6.5,692.3,"81,934",0.93,1.11,87366.60,0.66,"48,679.04"
Denmark,DNK,29.51,843,"355,440","53,551.90",32,925.6,"399,486",6.64,6.47,61153.92,0.89,"54,952.59"
Pakistan,PAK,,,"420,000","2,379.33",590,59.3,,176.52,,1254.86,,
Peru,PER,15.71,268,"63,000","16,417.58",12.9,407.0,"21,413",3.84,,6134.22,2.94,
Argentina,ARG,,,"931,272","8,867.86",450,172.5,"605,628",105.02,,8571.94,1.54,
Malaysia,MYS,,,"21,600","5,160.67",9.99,180.2,"43,768",4.19,,10231.34,0.49,
Romania,ROU,,,"27,300","6,187.81",10.6,214.6,"54,731",4.41,,12867.64,0.50,
Saudi Arabia,SAU,,,"117,732","31,379.30",15,654.1,,3.75,,19995.70,,
Taiwan,TWN,,,"360,000","12,943.12",75,400.0,,27.81,,28358.30,,
United Arab Emirates,ARE,,,90000,"24,502.80",17,441.2,,3.67,,38661.18,,
Hong Kong,HKG,,,"210,000","26,931.54",22,795.5,,7.80,,46657.20,,
Singapore,SGP,,,"30,000","22,186.89",5.9,423.7,"82,503",1.35,,59794.60,0.36,
