país,country_code,bolsa_lcu
Argentina,ARG,"1,158,648"
Australia,AUS,"30,000"
Austria,AUT,"27,912"
Belgium,BEL,"28,200"
Brazil,BRA,"32,664"
Britain,GBR,"16,815"
Canada,CAN,"25,567"
Chile,CHL,"9,380,028"
China,CHN,"43,764"
Czech Republic,CZE,"299,460"
Denmark,DNK,"378,312"
Egypt,EGY,"84,000"
Estonia,EST,"21,312"
Finland,FIN,"31,776"
France,FRA,"21,120"
Germany,DEU,"25,536"
Greece,GRC,"10,908"
Hong Kong,HKG,"216,000"
Hungary,HUN,"2,177,088"
India,IND,"427,260"
Indonesia,IDN,"48,911,844"
Iran,IDN,"192,000,000"
Ireland,IRL,"18,846"
Israel,ISR,"99,084"
Italy,ITA,"14,400"
Japan,JPN,"1,839,744"
Luxembourg,LUX,"37,812"
Malaysia,MYS,"24,000"
Mexico,MEX,"206,208"
Morocco,MDA,"36,000"
Netherlands,NLD,"34,704"
New Zealand,NZL,"27,000"
Norway,NOR,"516,612"
Pakistan,PAK,"420,000"
Poland,POL,"34,008"
Portugal,PRT,"13,680"
Romania,ROU,"32,400"
Russia,RUS,"816,720"
Saudi Arabia,SAU,"120,120"
Singapore,SGP,"30,000"
Slovakia,SVK,"11,604"
Slovenia,SVN,"13,872"
South Africa,ZAF,"150,883"
South Korea,KOR,"16,140,672"
Spain,ESP,"19,000"
Sweden,SWE,"382,056"
Switzerland,CHE,"52,846"
Taiwan,TWN,"300,000"
Thailand,THA,"240,000"
Turkey,TUR,"75,036"
United Arab Emirates,ARE,120000
United States,USA,"45,606"
