"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PPP","TOT","NATUSD","A","2000",1.311512,
"AUS","PPP","TOT","NATUSD","A","2001",1.326073,
"AUS","PPP","TOT","NATUSD","A","2002",1.33649,
"AUS","PPP","TOT","NATUSD","A","2003",1.353236,
"AUS","PPP","TOT","NATUSD","A","2004",1.365806,
"AUS","PPP","TOT","NATUSD","A","2005",1.388356,
"AUS","PPP","TOT","NATUSD","A","2006",1.403522,
"AUS","PPP","TOT","NATUSD","A","2007",1.426868,
"AUS","PPP","TOT","NATUSD","A","2008",1.479073,
"AUS","PPP","TOT","NATUSD","A","2009",1.442545,
"AUS","PPP","TOT","NATUSD","A","2010",1.503317,
"AUS","PPP","TOT","NATUSD","A","2011",1.511052,
"AUS","PPP","TOT","NATUSD","A","2012",1.540115,
"AUS","PPP","TOT","NATUSD","A","2013",1.447123,
"AUS","PPP","TOT","NATUSD","A","2014",1.452489,
"AUS","PPP","TOT","NATUSD","A","2015",1.473691,
"AUS","PPP","TOT","NATUSD","A","2016",1.450156,
"AUS","PPP","TOT","NATUSD","A","2017",1.477553,
"AUS","PPP","TOT","NATUSD","A","2018",1.470403,
"AUS","PPP","TOT","NATUSD","A","2019",1.482686,
"AUS","PPP","TOT","NATUSD","A","2020",1.446009,
"AUS","PPP","TOT","NATUSD","A","2021",1.438979,
"AUT","PPP","TOT","NATUSD","A","2000",0.90762,
"AUT","PPP","TOT","NATUSD","A","2001",0.923168,
"AUT","PPP","TOT","NATUSD","A","2002",0.899797,
"AUT","PPP","TOT","NATUSD","A","2003",0.888168,
"AUT","PPP","TOT","NATUSD","A","2004",0.878078,
"AUT","PPP","TOT","NATUSD","A","2005",0.881939,
"AUT","PPP","TOT","NATUSD","A","2006",0.860024,
"AUT","PPP","TOT","NATUSD","A","2007",0.868179,
"AUT","PPP","TOT","NATUSD","A","2008",0.854424,
"AUT","PPP","TOT","NATUSD","A","2009",0.843731,
"AUT","PPP","TOT","NATUSD","A","2010",0.84219,
"AUT","PPP","TOT","NATUSD","A","2011",0.831374,
"AUT","PPP","TOT","NATUSD","A","2012",0.813648,
"AUT","PPP","TOT","NATUSD","A","2013",0.797081,
"AUT","PPP","TOT","NATUSD","A","2014",0.798797,
"AUT","PPP","TOT","NATUSD","A","2015",0.798813,
"AUT","PPP","TOT","NATUSD","A","2016",0.776931,
"AUT","PPP","TOT","NATUSD","A","2017",0.775009,
"AUT","PPP","TOT","NATUSD","A","2018",0.765403,
"AUT","PPP","TOT","NATUSD","A","2019",0.770813,
"AUT","PPP","TOT","NATUSD","A","2020",0.763921,
"AUT","PPP","TOT","NATUSD","A","2021",0.770831,
"BEL","PPP","TOT","NATUSD","A","2000",0.900114,
"BEL","PPP","TOT","NATUSD","A","2001",0.89263,
"BEL","PPP","TOT","NATUSD","A","2002",0.8733,
"BEL","PPP","TOT","NATUSD","A","2003",0.876113,
"BEL","PPP","TOT","NATUSD","A","2004",0.888326,
"BEL","PPP","TOT","NATUSD","A","2005",0.891788,
"BEL","PPP","TOT","NATUSD","A","2006",0.874269,
"BEL","PPP","TOT","NATUSD","A","2007",0.878973,
"BEL","PPP","TOT","NATUSD","A","2008",0.86694,
"BEL","PPP","TOT","NATUSD","A","2009",0.85011,
"BEL","PPP","TOT","NATUSD","A","2010",0.836572,
"BEL","PPP","TOT","NATUSD","A","2011",0.831911,
"BEL","PPP","TOT","NATUSD","A","2012",0.822137,
"BEL","PPP","TOT","NATUSD","A","2013",0.806166,
"BEL","PPP","TOT","NATUSD","A","2014",0.800214,
"BEL","PPP","TOT","NATUSD","A","2015",0.799998,
"BEL","PPP","TOT","NATUSD","A","2016",0.781011,
"BEL","PPP","TOT","NATUSD","A","2017",0.775634,
"BEL","PPP","TOT","NATUSD","A","2018",0.766407,
"BEL","PPP","TOT","NATUSD","A","2019",0.766896,
"BEL","PPP","TOT","NATUSD","A","2020",0.745495,
"BEL","PPP","TOT","NATUSD","A","2021",0.742723,
"CAN","PPP","TOT","NATUSD","A","2000",1.227599,
"CAN","PPP","TOT","NATUSD","A","2001",1.220464,
"CAN","PPP","TOT","NATUSD","A","2002",1.229333,
"CAN","PPP","TOT","NATUSD","A","2003",1.225714,
"CAN","PPP","TOT","NATUSD","A","2004",1.232662,
"CAN","PPP","TOT","NATUSD","A","2005",1.213644,
"CAN","PPP","TOT","NATUSD","A","2006",1.205365,
"CAN","PPP","TOT","NATUSD","A","2007",1.212099,
"CAN","PPP","TOT","NATUSD","A","2008",1.23439,
"CAN","PPP","TOT","NATUSD","A","2009",1.202244,
"CAN","PPP","TOT","NATUSD","A","2010",1.22182,
"CAN","PPP","TOT","NATUSD","A","2011",1.239904,
"CAN","PPP","TOT","NATUSD","A","2012",1.244607,
"CAN","PPP","TOT","NATUSD","A","2013",1.224,
"CAN","PPP","TOT","NATUSD","A","2014",1.230358,
"CAN","PPP","TOT","NATUSD","A","2015",1.248042,
"CAN","PPP","TOT","NATUSD","A","2016",1.207045,
"CAN","PPP","TOT","NATUSD","A","2017",1.212304,
"CAN","PPP","TOT","NATUSD","A","2018",1.206524,
"CAN","PPP","TOT","NATUSD","A","2019",1.246847,
"CAN","PPP","TOT","NATUSD","A","2020",1.245722,
"CAN","PPP","TOT","NATUSD","A","2021",1.253066,
"CZE","PPP","TOT","NATUSD","A","2000",14.332421,
"CZE","PPP","TOT","NATUSD","A","2001",14.326301,
"CZE","PPP","TOT","NATUSD","A","2002",14.458321,
"CZE","PPP","TOT","NATUSD","A","2003",14.176016,
"CZE","PPP","TOT","NATUSD","A","2004",14.426129,
"CZE","PPP","TOT","NATUSD","A","2005",14.562493,
"CZE","PPP","TOT","NATUSD","A","2006",14.414552,
"CZE","PPP","TOT","NATUSD","A","2007",14.258779,
"CZE","PPP","TOT","NATUSD","A","2008",13.916713,
"CZE","PPP","TOT","NATUSD","A","2009",13.638435,
"CZE","PPP","TOT","NATUSD","A","2010",13.672004,
"CZE","PPP","TOT","NATUSD","A","2011",13.345305,
"CZE","PPP","TOT","NATUSD","A","2012",13.297699,
"CZE","PPP","TOT","NATUSD","A","2013",12.785271,
"CZE","PPP","TOT","NATUSD","A","2014",12.70321,
"CZE","PPP","TOT","NATUSD","A","2015",12.93798,
"CZE","PPP","TOT","NATUSD","A","2016",12.576343,
"CZE","PPP","TOT","NATUSD","A","2017",12.424986,
"CZE","PPP","TOT","NATUSD","A","2018",12.371528,
"CZE","PPP","TOT","NATUSD","A","2019",12.663206,
"CZE","PPP","TOT","NATUSD","A","2020",12.793019,
"CZE","PPP","TOT","NATUSD","A","2021",12.919712,
"DNK","PPP","TOT","NATUSD","A","2000",8.671299,
"DNK","PPP","TOT","NATUSD","A","2001",8.694404,
"DNK","PPP","TOT","NATUSD","A","2002",8.561606,
"DNK","PPP","TOT","NATUSD","A","2003",8.647856,
"DNK","PPP","TOT","NATUSD","A","2004",8.459827,
"DNK","PPP","TOT","NATUSD","A","2005",8.569438,
"DNK","PPP","TOT","NATUSD","A","2006",8.287109,
"DNK","PPP","TOT","NATUSD","A","2007",8.162445,
"DNK","PPP","TOT","NATUSD","A","2008",7.944128,
"DNK","PPP","TOT","NATUSD","A","2009",7.731134,
"DNK","PPP","TOT","NATUSD","A","2010",7.590837,
"DNK","PPP","TOT","NATUSD","A","2011",7.466492,
"DNK","PPP","TOT","NATUSD","A","2012",7.564136,
"DNK","PPP","TOT","NATUSD","A","2013",7.354846,
"DNK","PPP","TOT","NATUSD","A","2014",7.328674,
"DNK","PPP","TOT","NATUSD","A","2015",7.305357,
"DNK","PPP","TOT","NATUSD","A","2016",7.079856,
"DNK","PPP","TOT","NATUSD","A","2017",6.871679,
"DNK","PPP","TOT","NATUSD","A","2018",6.765997,
"DNK","PPP","TOT","NATUSD","A","2019",6.791558,
"DNK","PPP","TOT","NATUSD","A","2020",6.632676,
"DNK","PPP","TOT","NATUSD","A","2021",6.593618,
"FIN","PPP","TOT","NATUSD","A","2000",0.984123,
"FIN","PPP","TOT","NATUSD","A","2001",1.002939,
"FIN","PPP","TOT","NATUSD","A","2002",0.998133,
"FIN","PPP","TOT","NATUSD","A","2003",1.002002,
"FIN","PPP","TOT","NATUSD","A","2004",0.973211,
"FIN","PPP","TOT","NATUSD","A","2005",0.979424,
"FIN","PPP","TOT","NATUSD","A","2006",0.952864,
"FIN","PPP","TOT","NATUSD","A","2007",0.934816,
"FIN","PPP","TOT","NATUSD","A","2008",0.912125,
"FIN","PPP","TOT","NATUSD","A","2009",0.896502,
"FIN","PPP","TOT","NATUSD","A","2010",0.900476,
"FIN","PPP","TOT","NATUSD","A","2011",0.898068,
"FIN","PPP","TOT","NATUSD","A","2012",0.908495,
"FIN","PPP","TOT","NATUSD","A","2013",0.905357,
"FIN","PPP","TOT","NATUSD","A","2014",0.90721,
"FIN","PPP","TOT","NATUSD","A","2015",0.907748,
"FIN","PPP","TOT","NATUSD","A","2016",0.880895,
"FIN","PPP","TOT","NATUSD","A","2017",0.863657,
"FIN","PPP","TOT","NATUSD","A","2018",0.853746,
"FIN","PPP","TOT","NATUSD","A","2019",0.863225,
"FIN","PPP","TOT","NATUSD","A","2020",0.844975,
"FIN","PPP","TOT","NATUSD","A","2021",0.829754,
"FRA","PPP","TOT","NATUSD","A","2000",0.930369,
"FRA","PPP","TOT","NATUSD","A","2001",0.911948,
"FRA","PPP","TOT","NATUSD","A","2002",0.900678,
"FRA","PPP","TOT","NATUSD","A","2003",0.929893,
"FRA","PPP","TOT","NATUSD","A","2004",0.935127,
"FRA","PPP","TOT","NATUSD","A","2005",0.916458,
"FRA","PPP","TOT","NATUSD","A","2006",0.894688,
"FRA","PPP","TOT","NATUSD","A","2007",0.888771,
"FRA","PPP","TOT","NATUSD","A","2008",0.881874,
"FRA","PPP","TOT","NATUSD","A","2009",0.862966,
"FRA","PPP","TOT","NATUSD","A","2010",0.854632,
"FRA","PPP","TOT","NATUSD","A","2011",0.841361,
"FRA","PPP","TOT","NATUSD","A","2012",0.844301,
"FRA","PPP","TOT","NATUSD","A","2013",0.811643,
"FRA","PPP","TOT","NATUSD","A","2014",0.807565,
"FRA","PPP","TOT","NATUSD","A","2015",0.808694,
"FRA","PPP","TOT","NATUSD","A","2016",0.780044,
"FRA","PPP","TOT","NATUSD","A","2017",0.770109,
"FRA","PPP","TOT","NATUSD","A","2018",0.756166,
"FRA","PPP","TOT","NATUSD","A","2019",0.738663,
"FRA","PPP","TOT","NATUSD","A","2020",0.727312,
"FRA","PPP","TOT","NATUSD","A","2021",0.725323,
"DEU","PPP","TOT","NATUSD","A","2000",0.943211,
"DEU","PPP","TOT","NATUSD","A","2001",0.929967,
"DEU","PPP","TOT","NATUSD","A","2002",0.913257,
"DEU","PPP","TOT","NATUSD","A","2003",0.895937,
"DEU","PPP","TOT","NATUSD","A","2004",0.875063,
"DEU","PPP","TOT","NATUSD","A","2005",0.872721,
"DEU","PPP","TOT","NATUSD","A","2006",0.847574,
"DEU","PPP","TOT","NATUSD","A","2007",0.837303,
"DEU","PPP","TOT","NATUSD","A","2008",0.820401,
"DEU","PPP","TOT","NATUSD","A","2009",0.811106,
"DEU","PPP","TOT","NATUSD","A","2010",0.80504,
"DEU","PPP","TOT","NATUSD","A","2011",0.788739,
"DEU","PPP","TOT","NATUSD","A","2012",0.787246,
"DEU","PPP","TOT","NATUSD","A","2013",0.774784,
"DEU","PPP","TOT","NATUSD","A","2014",0.768937,
"DEU","PPP","TOT","NATUSD","A","2015",0.778122,
"DEU","PPP","TOT","NATUSD","A","2016",0.752608,
"DEU","PPP","TOT","NATUSD","A","2017",0.744783,
"DEU","PPP","TOT","NATUSD","A","2018",0.735448,
"DEU","PPP","TOT","NATUSD","A","2019",0.751098,
"DEU","PPP","TOT","NATUSD","A","2020",0.738351,
"DEU","PPP","TOT","NATUSD","A","2021",0.741488,
"GRC","PPP","TOT","NATUSD","A","2000",0.669773,
"GRC","PPP","TOT","NATUSD","A","2001",0.66865,
"GRC","PPP","TOT","NATUSD","A","2002",0.662967,
"GRC","PPP","TOT","NATUSD","A","2003",0.685082,
"GRC","PPP","TOT","NATUSD","A","2004",0.694514,
"GRC","PPP","TOT","NATUSD","A","2005",0.708976,
"GRC","PPP","TOT","NATUSD","A","2006",0.692455,
"GRC","PPP","TOT","NATUSD","A","2007",0.718317,
"GRC","PPP","TOT","NATUSD","A","2008",0.707951,
"GRC","PPP","TOT","NATUSD","A","2009",0.704432,
"GRC","PPP","TOT","NATUSD","A","2010",0.721977,
"GRC","PPP","TOT","NATUSD","A","2011",0.713163,
"GRC","PPP","TOT","NATUSD","A","2012",0.684663,
"GRC","PPP","TOT","NATUSD","A","2013",0.631286,
"GRC","PPP","TOT","NATUSD","A","2014",0.611135,
"GRC","PPP","TOT","NATUSD","A","2015",0.60907,
"GRC","PPP","TOT","NATUSD","A","2016",0.58858,
"GRC","PPP","TOT","NATUSD","A","2017",0.575041,
"GRC","PPP","TOT","NATUSD","A","2018",0.564857,
"GRC","PPP","TOT","NATUSD","A","2019",0.563038,
"GRC","PPP","TOT","NATUSD","A","2020",0.552809,
"GRC","PPP","TOT","NATUSD","A","2021",0.547807,
"HUN","PPP","TOT","NATUSD","A","2000",110.086598,
"HUN","PPP","TOT","NATUSD","A","2001",114.440223,
"HUN","PPP","TOT","NATUSD","A","2002",118.141282,
"HUN","PPP","TOT","NATUSD","A","2003",122.012198,
"HUN","PPP","TOT","NATUSD","A","2004",128.382006,
"HUN","PPP","TOT","NATUSD","A","2005",130.929945,
"HUN","PPP","TOT","NATUSD","A","2006",131.490535,
"HUN","PPP","TOT","NATUSD","A","2007",134.066824,
"HUN","PPP","TOT","NATUSD","A","2008",131.005355,
"HUN","PPP","TOT","NATUSD","A","2009",127.690292,
"HUN","PPP","TOT","NATUSD","A","2010",126.410628,
"HUN","PPP","TOT","NATUSD","A","2011",124.271836,
"HUN","PPP","TOT","NATUSD","A","2012",125.623608,
"HUN","PPP","TOT","NATUSD","A","2013",124.979432,
"HUN","PPP","TOT","NATUSD","A","2014",129.414974,
"HUN","PPP","TOT","NATUSD","A","2015",132.55351,
"HUN","PPP","TOT","NATUSD","A","2016",132.033797,
"HUN","PPP","TOT","NATUSD","A","2017",136.036522,
"HUN","PPP","TOT","NATUSD","A","2018",139.092451,
"HUN","PPP","TOT","NATUSD","A","2019",145.140842,
"HUN","PPP","TOT","NATUSD","A","2020",148.803704,
"HUN","PPP","TOT","NATUSD","A","2021",154.840118,
"ISL","PPP","TOT","NATUSD","A","2000",84.733554,
"ISL","PPP","TOT","NATUSD","A","2001",88.320979,
"ISL","PPP","TOT","NATUSD","A","2002",91.105413,
"ISL","PPP","TOT","NATUSD","A","2003",92.608203,
"ISL","PPP","TOT","NATUSD","A","2004",93.28674,
"ISL","PPP","TOT","NATUSD","A","2005",95.840665,
"ISL","PPP","TOT","NATUSD","A","2006",101.632762,
"ISL","PPP","TOT","NATUSD","A","2007",107.360854,
"ISL","PPP","TOT","NATUSD","A","2008",114.527003,
"ISL","PPP","TOT","NATUSD","A","2009",121.975931,
"ISL","PPP","TOT","NATUSD","A","2010",132.880921,
"ISL","PPP","TOT","NATUSD","A","2011",135.152004,
"ISL","PPP","TOT","NATUSD","A","2012",136.96767,
"ISL","PPP","TOT","NATUSD","A","2013",137.022617,
"ISL","PPP","TOT","NATUSD","A","2014",138.547869,
"ISL","PPP","TOT","NATUSD","A","2015",141.974926,
"ISL","PPP","TOT","NATUSD","A","2016",140.02995,
"ISL","PPP","TOT","NATUSD","A","2017",138.277175,
"ISL","PPP","TOT","NATUSD","A","2018",140.970278,
"ISL","PPP","TOT","NATUSD","A","2019",145.010743,
"ISL","PPP","TOT","NATUSD","A","2020",149.685438,
"ISL","PPP","TOT","NATUSD","A","2021",150.642103,
"IRL","PPP","TOT","NATUSD","A","2000",0.943948,
"IRL","PPP","TOT","NATUSD","A","2001",0.969631,
"IRL","PPP","TOT","NATUSD","A","2002",0.981997,
"IRL","PPP","TOT","NATUSD","A","2003",1.003935,
"IRL","PPP","TOT","NATUSD","A","2004",0.991152,
"IRL","PPP","TOT","NATUSD","A","2005",1.011707,
"IRL","PPP","TOT","NATUSD","A","2006",0.978232,
"IRL","PPP","TOT","NATUSD","A","2007",0.957792,
"IRL","PPP","TOT","NATUSD","A","2008",0.944447,
"IRL","PPP","TOT","NATUSD","A","2009",0.901284,
"IRL","PPP","TOT","NATUSD","A","2010",0.849503,
"IRL","PPP","TOT","NATUSD","A","2011",0.831513,
"IRL","PPP","TOT","NATUSD","A","2012",0.823072,
"IRL","PPP","TOT","NATUSD","A","2013",0.811228,
"IRL","PPP","TOT","NATUSD","A","2014",0.819041,
"IRL","PPP","TOT","NATUSD","A","2015",0.809686,
"IRL","PPP","TOT","NATUSD","A","2016",0.794289,
"IRL","PPP","TOT","NATUSD","A","2017",0.794405,
"IRL","PPP","TOT","NATUSD","A","2018",0.792214,
"IRL","PPP","TOT","NATUSD","A","2019",0.826898,
"IRL","PPP","TOT","NATUSD","A","2020",0.801156,
"IRL","PPP","TOT","NATUSD","A","2021",0.787487,
"ITA","PPP","TOT","NATUSD","A","2000",0.805361,
"ITA","PPP","TOT","NATUSD","A","2001",0.816516,
"ITA","PPP","TOT","NATUSD","A","2002",0.823489,
"ITA","PPP","TOT","NATUSD","A","2003",0.833464,
"ITA","PPP","TOT","NATUSD","A","2004",0.851864,
"ITA","PPP","TOT","NATUSD","A","2005",0.855139,
"ITA","PPP","TOT","NATUSD","A","2006",0.822842,
"ITA","PPP","TOT","NATUSD","A","2007",0.809381,
"ITA","PPP","TOT","NATUSD","A","2008",0.783694,
"ITA","PPP","TOT","NATUSD","A","2009",0.771323,
"ITA","PPP","TOT","NATUSD","A","2010",0.773129,
"ITA","PPP","TOT","NATUSD","A","2011",0.758687,
"ITA","PPP","TOT","NATUSD","A","2012",0.747731,
"ITA","PPP","TOT","NATUSD","A","2013",0.737299,
"ITA","PPP","TOT","NATUSD","A","2014",0.739644,
"ITA","PPP","TOT","NATUSD","A","2015",0.738694,
"ITA","PPP","TOT","NATUSD","A","2016",0.700544,
"ITA","PPP","TOT","NATUSD","A","2017",0.689895,
"ITA","PPP","TOT","NATUSD","A","2018",0.681219,
"ITA","PPP","TOT","NATUSD","A","2019",0.677835,
"ITA","PPP","TOT","NATUSD","A","2020",0.663805,
"ITA","PPP","TOT","NATUSD","A","2021",0.654354,
"JPN","PPP","TOT","NATUSD","A","2000",154.691385,
"JPN","PPP","TOT","NATUSD","A","2001",149.641888,
"JPN","PPP","TOT","NATUSD","A","2002",143.774205,
"JPN","PPP","TOT","NATUSD","A","2003",139.579081,
"JPN","PPP","TOT","NATUSD","A","2004",134.401332,
"JPN","PPP","TOT","NATUSD","A","2005",129.551955,
"JPN","PPP","TOT","NATUSD","A","2006",124.448861,
"JPN","PPP","TOT","NATUSD","A","2007",120.319482,
"JPN","PPP","TOT","NATUSD","A","2008",116.845814,
"JPN","PPP","TOT","NATUSD","A","2009",115.219075,
"JPN","PPP","TOT","NATUSD","A","2010",111.709563,
"JPN","PPP","TOT","NATUSD","A","2011",107.454281,
"JPN","PPP","TOT","NATUSD","A","2012",104.273972,
"JPN","PPP","TOT","NATUSD","A","2013",101.302673,
"JPN","PPP","TOT","NATUSD","A","2014",103.052076,
"JPN","PPP","TOT","NATUSD","A","2015",103.469437,
"JPN","PPP","TOT","NATUSD","A","2016",105.519502,
"JPN","PPP","TOT","NATUSD","A","2017",105.101901,
"JPN","PPP","TOT","NATUSD","A","2018",104.158636,
"JPN","PPP","TOT","NATUSD","A","2019",104.305752,
"JPN","PPP","TOT","NATUSD","A","2020",101.24037,
"JPN","PPP","TOT","NATUSD","A","2021",100.41164,
"KOR","PPP","TOT","NATUSD","A","2000",747.736794,
"KOR","PPP","TOT","NATUSD","A","2001",756.699134,
"KOR","PPP","TOT","NATUSD","A","2002",769.77179,
"KOR","PPP","TOT","NATUSD","A","2003",791.293714,
"KOR","PPP","TOT","NATUSD","A","2004",794.711552,
"KOR","PPP","TOT","NATUSD","A","2005",788.920135,
"KOR","PPP","TOT","NATUSD","A","2006",772.216161,
"KOR","PPP","TOT","NATUSD","A","2007",770.085526,
"KOR","PPP","TOT","NATUSD","A","2008",785.717886,
"KOR","PPP","TOT","NATUSD","A","2009",828.420848,
"KOR","PPP","TOT","NATUSD","A","2010",840.991702,
"KOR","PPP","TOT","NATUSD","A","2011",854.585723,
"KOR","PPP","TOT","NATUSD","A","2012",854.887268,
"KOR","PPP","TOT","NATUSD","A","2013",869.081422,
"KOR","PPP","TOT","NATUSD","A","2014",871.878106,
"KOR","PPP","TOT","NATUSD","A","2015",857.483387,
"KOR","PPP","TOT","NATUSD","A","2016",858.809687,
"KOR","PPP","TOT","NATUSD","A","2017",872.624771,
"KOR","PPP","TOT","NATUSD","A","2018",854.871397,
"KOR","PPP","TOT","NATUSD","A","2019",864.630567,
"KOR","PPP","TOT","NATUSD","A","2020",824.604924,
"KOR","PPP","TOT","NATUSD","A","2021",847.456839,
"LUX","PPP","TOT","NATUSD","A","2000",0.955853,
"LUX","PPP","TOT","NATUSD","A","2001",0.963649,
"LUX","PPP","TOT","NATUSD","A","2002",0.956996,
"LUX","PPP","TOT","NATUSD","A","2003",0.964715,
"LUX","PPP","TOT","NATUSD","A","2004",0.951208,
