Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,13817725,11986435,384398099,168230420,28,2577
2,United Kingdom,Western Europe,4039729,3347117,102878206,22808209,25,1618
3,Germany,Western Europe,3515309,3151775,81454056,19404148,23,1429
4,Canada,Northern America,2037509,1796688,52825596,8841600,26,1299
5,France,Western Europe,2437589,2203243,55858552,11260558,23,1286
6,Italy,Western Europe,2072168,1840490,43760942,10035285,21,1135
7,Netherlands,Western Europe,1131975,998112,34385395,4970776,30,1133
8,Japan,Asiatic Region,3074206,2895478,54130480,13573127,18,1118
9,Australia,Pacific Region,1638743,1423945,37937045,7501967,23,1115
10,Switzerland,Western Europe,845108,745124,26479916,3253687,31,1085
11,China,Asiatic Region,7454602,7229532,78201759,44817420,10,1010
12,Spain,Western Europe,1628362,1468464,32533936,6927908,20,1010
13,Sweden,Western Europe,768416,691248,21754640,2991882,28,974
14,Belgium,Western Europe,620157,556015,16410805,1989328,26,886
15,Denmark,Western Europe,469318,416952,13850170,1771780,30,843
16,Israel,Middle East,441855,390664,11648614,1415261,26,786
17,South Korea,Asiatic Region,1307978,1249982,20238524,3782419,15,762
18,Austria,Western Europe,462156,409530,10955526,1318773,24,740
19,Finland,Western Europe,392312,356132,10093550,1367320,26,711
20,Norway,Western Europe,374374,330579,8970947,1238395,24,699
21,India,Asiatic Region,2128896,1946730,22218913,7526767,10,691
22,Russian Federation,Eastern Europe,1359443,1302809,11135903,3726592,8,652
23,Brazil,Latin America,1145853,1067185,14701837,4684306,13,649
24,Singapore,Asiatic Region,352240,315906,8245716,841769,23,646
25,Hong Kong,Asiatic Region,368737,335225,8826828,1006759,24,639
26,Poland,Eastern Europe,782013,733398,9500353,2283455,12,630
27,Ireland,Western Europe,246065,212388,5641389,570328,23,591
28,New Zealand,Pacific Region,283173,247539,6488634,845295,23,587
29,Taiwan,Asiatic Region,748274,712734,11832828,2045004,16,585
30,Greece,Western Europe,367084,327311,7122963,992262,19,567
31,Portugal,Western Europe,373566,336866,6670605,1101195,18,560
32,South Africa,Africa,342060,305649,5407984,1095359,16,531
33,Czech Republic,Eastern Europe,390274,366744,5231429,1057788,13,524
34,Hungary,Eastern Europe,225411,206854,4091517,581676,18,510
35,Mexico,Latin America,387111,356455,5308964,1009390,14,504
36,Turkey,Middle East,703732,650228,8337138,1762372,12,500
37,Argentina,Latin America,247088,226696,4202081,786338,17,477
